Date,Commodity,Region,Price,Unit,Category,Source,Year,Month,Day,DayOfYear,WeekOfYear,Season
2024-08-15,Apple,Bangalore,76.17,per kg,Fruit,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Apple,Bangalore,104.09,per kg,Fruit,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Apple,Bangalore,128.46,per kg,Fruit,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Apple,Bangalore,84.33,per kg,Fruit,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Apple,Bangalore,103.76,per kg,Fruit,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Apple,Bangalore,98.52,per kg,Fruit,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Apple,Bangalore,98.02,per kg,Fruit,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Apple,Bangalore,100.69,per kg,Fruit,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Apple,Bangalore,111.24,per kg,Fruit,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Apple,Bangalore,114.83,per kg,Fruit,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Apple,Bangalore,104.89,per kg,Fruit,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Apple,Bangalore,102.74,per kg,Fruit,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Apple,Bangalore,94.3,per kg,Fruit,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Apple,Bangalore,124.63,per kg,Fruit,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Apple,Bangalore,100.42,per kg,Fruit,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Apple,Bangalore,124.87,per kg,Fruit,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Apple,Bangalore,129.37,per kg,Fruit,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Apple,Bangalore,117.45,per kg,Fruit,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Apple,Bangalore,112.17,per kg,Fruit,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Apple,Bangalore,151.16,per kg,Fruit,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Apple,Bangalore,130.92,per kg,Fruit,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Apple,Bangalore,140.88,per kg,Fruit,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Apple,Bangalore,107.3,per kg,Fruit,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Apple,Bangalore,139.22,per kg,Fruit,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Apple,Bangalore,148.78,per kg,Fruit,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Apple,Bangalore,134.16,per kg,Fruit,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Apple,Bangalore,188.83,per kg,Fruit,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Apple,Bangalore,165.68,per kg,Fruit,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Apple,Bangalore,180.45,per kg,Fruit,Historical Pattern Analysis,2025,2,27,58,9,Winter
