Date,Commodity,Region,Price,Unit,Category,Source,Year,Month,Day,DayOfYear,WeekOfYear,Season
2025-08-30,Beans,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-01,Beans,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-09-02,Beans,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Beans,Karnataka,45.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-08-28,Beans,Karnataka,47.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-09-01,Brinjal,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-09-02,Brinjal,Karnataka,26.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Brinjal,Karnataka,27.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-08-28,Brinjal,Karnataka,31.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-08-30,Brinjal,Karnataka,35.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-08-28,Cabbage,Karnataka,6.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-08-30,Cabbage,Karnataka,7.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-01,Cabbage,Karnataka,7.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-29,Cabbage,Karnataka,8.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-09-02,Cabbage,Karnataka,8.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Capsicum,Karnataka,37.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-09-02,Capsicum,Karnataka,37.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-28,Capsicum,Karnataka,38.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-09-01,Capsicum,Karnataka,50.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-30,Capsicum,Karnataka,60.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-08-30,Carrot,Karnataka,40.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-01,Carrot,Karnataka,40.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-28,Carrot,Karnataka,44.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-08-29,Carrot,Karnataka,45.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-09-02,Carrot,Karnataka,55.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Cauliflower,Karnataka,20.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-09-02,Cauliflower,Karnataka,23.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-30,Cauliflower,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-08-28,Cauliflower,Karnataka,25.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-09-01,Cauliflower,Karnataka,25.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-29,Onion,Karnataka,18.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-08-30,Onion,Karnataka,18.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-01,Onion,Karnataka,18.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-28,Onion,Karnataka,19.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-09-02,Onion,Karnataka,19.61,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Potato,Karnataka,16.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-08-30,Potato,Karnataka,16.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-01,Potato,Karnataka,16.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-09-02,Potato,Karnataka,19.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-28,Potato,Karnataka,23.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
2025-09-01,Tomato,Karnataka,15.0,per kg,Vegetable,commodityonline.com,2025,9,1,244,36,Monsoon
2025-08-30,Tomato,Karnataka,18.0,per kg,Vegetable,commodityonline.com,2025,8,30,242,35,Monsoon
2025-09-02,Tomato,Karnataka,24.0,per kg,Vegetable,commodityonline.com,2025,9,2,245,36,Monsoon
2025-08-29,Tomato,Karnataka,37.0,per kg,Vegetable,commodityonline.com,2025,8,29,241,35,Monsoon
2025-08-28,Tomato,Karnataka,38.0,per kg,Vegetable,commodityonline.com,2025,8,28,240,35,Monsoon
